date,raidComb_SetPriTgtGenNum:01922,contCmd_SetCombState:05414,raidComb_SendMdmCombState:01610,contIniState_InitStateAccess:00164,raidComb_SetState:01843,raidComb_SetState:01702,raidComb_SetCombState:00128,raidComb_SendMdmCombState:01489,raidCombState_ValidateCombGen:12574,raidComb_SendMdmCombState:01439,raidComb_ValidateStateTransition:00901,raidComb_SendMdmCombState:01463,raidCombState_ValidateCombGen:12552,
25/03 00:43:36,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 00:45:07,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:00:47,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:01:41,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:03:58,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:04:07,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:04:54,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:57:51,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 01:57:52,5,5,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:58:57,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 01:58:59,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:59:01,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:59:11,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 01:59:12,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 01:59:25,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:01:07,6,6,0,0,1,1,4,0,0,0,0,0,0,
25/03 02:02:24,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 02:02:25,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:03:35,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 02:03:36,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:03:55,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 02:03:56,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:05:49,4,4,0,0,1,0,4,0,0,0,0,0,0,
25/03 02:05:52,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:05:53,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 02:05:54,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:21:14,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:21:17,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:28:41,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:32:50,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 02:41:39,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 03:15:42,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 03:19:44,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 03:30:04,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 03:51:04,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 03:51:06,4,4,0,0,0,0,0,0,0,0,0,0,0,
25/03 03:52:04,4,4,0,0,1,1,4,0,0,0,0,0,0,
25/03 03:52:24,8,8,0,0,1,1,4,0,0,1,0,0,0,
25/03 03:52:28,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 03:53:41,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 03:53:42,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 03:54:06,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 03:54:08,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 03:54:28,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 03:55:22,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 03:57:41,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 03:59:06,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 03:59:08,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 03:59:12,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 03:59:13,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 04:05:30,4,4,0,0,1,0,4,0,0,0,0,0,0,
25/03 04:05:31,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 04:05:33,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 04:06:47,2,2,0,0,1,0,4,0,0,1,0,0,0,
25/03 04:06:48,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 04:09:56,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 04:09:57,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 04:11:15,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 04:15:26,5,5,0,0,1,0,4,0,0,0,0,0,0,
25/03 04:51:51,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 04:51:53,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 04:55:49,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 04:58:24,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 05:30:58,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 05:31:00,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 05:31:38,5,5,0,0,1,0,4,0,0,0,0,0,0,
25/03 05:33:41,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 05:33:42,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 05:35:16,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 05:35:18,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 05:38:25,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 05:38:27,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 05:41:11,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 05:51:42,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 05:55:07,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 05:58:36,2,2,0,0,1,1,3,0,0,0,0,0,0,
25/03 05:58:37,0,0,0,0,0,0,1,0,0,0,0,0,0,
25/03 06:03:31,4,4,0,0,1,0,4,0,0,0,0,0,0,
25/03 06:44:14,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:27:32,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:28:34,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 07:28:36,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:29:48,1,1,0,0,0,0,2,0,0,0,0,0,0,
25/03 07:29:49,1,1,0,0,1,0,2,0,0,0,0,0,0,
25/03 07:29:50,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:31:02,0,0,0,0,0,0,1,0,0,0,0,0,0,
25/03 07:31:03,5,5,0,0,1,0,3,0,0,0,0,0,0,
25/03 07:32:23,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:37:43,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:39:31,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 07:39:32,4,4,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:43:50,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 07:51:47,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:52:39,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 07:52:41,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:54:01,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 07:54:03,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:54:10,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:54:12,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:54:16,5,5,0,0,1,0,4,0,0,0,0,0,0,
25/03 07:55:31,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 07:55:32,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:56:34,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 07:59:11,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 08:04:50,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 08:06:15,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 08:09:17,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 08:10:37,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 08:11:55,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 08:11:57,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 08:15:24,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 08:16:46,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 08:16:48,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:13:22,4,4,0,0,1,0,4,0,0,0,0,0,0,
25/03 09:31:19,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 09:31:20,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:40:19,0,0,3,0,0,0,0,3,0,0,0,0,0,
25/03 09:40:20,5,5,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:40:24,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:43:46,5,5,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:44:02,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:45:31,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:46:41,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 09:46:42,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:51:31,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:52:22,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 09:55:02,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 09:58:36,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 10:00:15,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 10:03:11,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 10:05:56,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 10:05:58,4,4,0,0,0,0,0,0,0,0,0,0,0,
25/03 10:11:04,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 10:11:05,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 10:12:56,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 10:28:16,5,5,0,0,0,0,0,0,0,0,0,0,0,
25/03 10:28:20,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:00:20,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 11:00:21,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:20:54,6,6,0,0,1,0,4,0,0,0,0,0,0,
25/03 11:23:32,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:25:32,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:32:16,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:32:18,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:36:23,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:47:13,1,1,0,0,0,0,2,0,0,0,0,0,0,
25/03 11:47:14,4,4,0,0,1,0,2,0,0,0,0,0,0,
25/03 11:50:40,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 11:50:41,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:50:43,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:52:06,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 11:52:08,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 11:53:32,4,4,0,0,1,0,4,0,0,0,0,0,0,
25/03 12:02:30,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:05:31,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 12:05:33,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:08:42,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:10:13,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 12:10:15,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:16:02,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 12:16:03,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:16:19,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:16:28,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:16:57,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:16:59,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:21:38,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 12:21:39,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:21:40,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:22:41,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:22:44,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:22:46,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:24:35,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:26:17,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:30:54,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 12:30:55,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:32:30,6,6,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:32:32,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:33:59,5,5,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:34:01,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:39:30,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 12:41:34,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 13:34:04,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 13:34:05,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:35:27,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 13:35:29,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:38:39,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 13:38:40,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:40:15,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 13:40:16,4,4,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:44:20,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:47:03,2,2,0,0,0,0,2,0,0,0,0,0,0,
25/03 13:47:28,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 13:47:29,5,5,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:47:54,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 13:48:29,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:49:05,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:49:08,2,2,0,0,0,1,2,0,0,0,0,0,0,
25/03 13:49:09,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:49:14,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 13:49:16,4,4,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:49:49,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:49:52,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 13:49:54,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:50:16,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:50:25,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:50:36,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:50:45,4,4,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:50:49,4,4,0,0,1,0,4,0,0,0,0,0,0,
25/03 13:51:03,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:51:15,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 13:51:16,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:51:27,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:51:29,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:51:40,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:53:27,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 13:53:38,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:53:40,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:54:00,4,4,0,0,1,1,4,0,0,0,0,0,0,
25/03 13:54:12,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:54:43,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 13:54:45,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:54:47,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:54:56,5,5,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:55:08,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 13:55:46,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 13:55:47,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:55:58,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:56:11,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 13:56:12,5,5,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:56:14,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:56:23,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:56:47,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 13:57:02,3,3,0,0,1,0,4,0,0,0,0,0,0,
