date,contVaeMngr_AbortAllVaeMigrations:03582,raidMigrate_TrcErrCb:00200,contCmd_StartMigration:05425,contVaeMngr_AbortAllVaeMigrations:03547,contCmd_AbortMigration:05459,contCmd_EndMigration:05488,contCmd_EndMigration:05521,contCmd_AbortMigration:05478,contCmd_StartMigration:05449,raidComb_StartMigrate:02486,raidComb_EndMigrateInter:02725,
25/03 00:43:35,0,0,1,0,0,1,1,0,1,1,1,
25/03 00:45:07,0,0,1,0,0,1,1,0,1,1,1,
25/03 01:00:47,0,0,1,0,0,1,1,0,1,1,1,
25/03 01:01:40,0,0,1,0,0,1,1,0,1,1,1,
25/03 01:03:58,0,0,1,0,0,1,1,0,1,1,1,
25/03 01:04:53,0,0,1,0,0,1,1,0,1,1,1,
25/03 02:18:48,0,0,1,0,0,1,1,0,1,1,1,
25/03 02:21:14,0,0,1,0,0,1,1,0,1,1,1,
25/03 02:26:21,0,0,1,0,0,1,1,0,1,1,1,
25/03 02:28:35,0,0,1,0,0,1,1,0,1,1,1,
25/03 02:32:48,0,0,1,0,0,1,1,0,1,1,1,
25/03 02:37:03,0,0,1,0,0,1,1,0,1,1,1,
25/03 02:41:39,0,0,1,0,0,1,1,0,1,1,1,
25/03 03:00:15,0,0,1,0,0,1,1,0,1,1,1,
25/03 03:15:35,0,0,1,0,0,1,1,0,1,1,1,
25/03 03:19:42,0,0,1,0,0,1,1,0,1,1,1,
25/03 03:24:55,0,0,1,0,0,1,1,0,1,1,1,
25/03 03:25:50,0,0,1,0,0,1,1,0,1,1,1,
25/03 03:30:02,0,0,1,0,0,1,1,0,1,1,1,
25/03 04:12:04,0,0,1,0,0,1,1,0,1,1,1,
25/03 04:15:59,0,0,1,0,0,1,1,0,1,1,1,
25/03 04:51:50,0,0,1,0,0,1,1,0,1,1,1,
25/03 04:55:47,0,0,1,0,0,1,1,0,1,1,1,
25/03 04:56:19,0,0,1,0,0,1,1,0,1,1,1,
25/03 04:57:36,0,0,1,0,0,1,1,0,1,1,1,
25/03 04:58:24,0,0,1,0,0,1,1,0,1,1,1,
25/03 05:08:53,0,0,1,0,0,1,1,0,1,1,1,
25/03 05:30:56,0,0,1,0,0,1,1,0,1,1,1,
25/03 05:32:18,0,0,1,0,0,1,1,0,1,1,1,
25/03 06:42:29,0,0,1,0,0,1,1,0,1,1,1,
25/03 06:44:13,0,0,1,0,0,1,1,0,1,1,1,
25/03 07:27:31,0,0,1,0,0,1,1,0,1,1,1,
25/03 07:32:23,0,0,1,0,0,1,1,0,1,1,1,
25/03 07:37:41,0,0,1,0,0,1,1,0,1,1,1,
25/03 07:42:14,0,0,1,0,0,1,1,0,1,1,1,
25/03 07:49:55,0,0,1,0,0,1,1,0,1,1,1,
25/03 07:51:46,0,0,1,0,0,1,1,0,1,1,1,
25/03 07:54:08,0,0,1,0,0,1,1,0,1,1,1,
25/03 07:56:33,0,0,1,0,0,1,1,0,1,1,1,
25/03 07:58:56,0,0,1,0,0,1,1,0,1,1,1,
25/03 08:06:10,0,0,1,0,0,1,1,0,1,1,1,
25/03 08:08:24,0,0,1,0,0,1,1,0,1,1,1,
25/03 08:56:02,0,0,1,0,0,1,1,0,1,1,1,
25/03 09:40:19,0,0,1,0,0,1,1,0,1,1,1,
25/03 09:43:46,0,0,1,0,0,1,1,0,1,1,1,
25/03 09:44:00,0,0,1,0,0,1,1,0,1,1,1,
25/03 09:45:30,0,0,1,0,0,1,1,0,1,1,1,
25/03 09:51:25,0,0,1,0,0,1,1,0,1,1,1,
25/03 09:51:30,0,0,1,0,0,1,1,0,1,1,1,
25/03 09:55:01,0,0,0,0,0,1,1,0,0,0,1,
25/03 09:55:02,0,0,1,0,0,0,0,0,1,1,0,
