date,contCmd_SetCombState:05414,contDevMngr_HardenAllCombs:08249,phyDev_HardenAllCombs:02658,raidComb_SetCombState:00128,
25/03 00:41:17,0,1,0,0,
25/03 00:42:18,0,1,0,0,
25/03 00:43:19,0,1,0,0,
25/03 00:43:36,3,0,0,0,
25/03 00:44:19,0,1,0,0,
25/03 00:45:07,1,0,0,0,
25/03 00:45:21,0,1,0,0,
25/03 00:46:21,0,1,0,0,
25/03 00:47:22,0,1,0,0,
25/03 00:48:23,0,1,0,0,
25/03 00:49:24,0,1,0,0,
25/03 00:50:25,0,1,0,0,
25/03 00:51:26,0,1,0,0,
25/03 00:52:29,0,1,0,0,
25/03 00:53:30,0,1,0,0,
25/03 00:54:32,0,1,0,0,
25/03 00:55:32,0,1,0,0,
25/03 00:56:32,0,1,0,0,
25/03 00:57:35,0,1,0,0,
25/03 00:58:35,0,1,0,0,
25/03 00:59:37,0,1,0,0,
25/03 01:00:38,0,1,0,0,
25/03 01:00:47,2,0,0,0,
25/03 01:01:40,0,1,0,0,
25/03 01:01:41,1,0,0,0,
25/03 01:02:41,0,1,0,0,
25/03 01:03:43,0,1,0,0,
25/03 01:03:58,1,0,0,0,
25/03 01:04:07,1,0,0,0,
25/03 01:04:44,0,1,0,0,
25/03 01:04:54,1,0,0,0,
25/03 01:05:45,0,1,0,0,
25/03 01:06:50,0,1,0,0,
25/03 01:07:51,0,1,0,0,
25/03 01:08:53,0,1,0,0,
25/03 01:09:54,0,1,0,0,
25/03 01:10:55,0,1,0,0,
25/03 01:11:56,0,1,0,0,
25/03 01:12:56,0,1,0,0,
25/03 01:13:59,0,1,0,0,
25/03 01:14:59,0,1,0,0,
25/03 01:16:00,0,1,0,0,
25/03 01:17:03,0,1,0,0,
25/03 01:18:03,0,1,0,0,
25/03 01:19:04,0,1,0,0,
25/03 01:20:04,0,1,0,0,
25/03 01:21:04,0,1,0,0,
25/03 01:22:07,0,1,0,0,
25/03 01:23:08,0,1,0,0,
25/03 01:24:09,0,1,0,0,
25/03 01:25:12,0,1,0,0,
25/03 01:26:12,0,1,0,0,
25/03 01:27:14,0,1,0,0,
25/03 01:28:14,0,1,0,0,
25/03 01:29:15,0,1,0,0,
25/03 01:30:16,0,1,0,0,
25/03 01:31:16,0,1,0,0,
25/03 01:32:19,0,1,0,0,
25/03 01:33:20,0,1,0,0,
25/03 01:34:21,0,1,0,0,
25/03 01:35:21,0,1,0,0,
25/03 01:36:21,0,1,0,0,
25/03 01:37:22,0,1,0,0,
25/03 01:38:24,0,1,0,0,
25/03 01:39:25,0,1,0,0,
25/03 01:40:26,0,1,0,0,
25/03 01:41:26,0,1,0,0,
25/03 01:42:26,0,1,0,0,
25/03 01:43:27,0,1,0,0,
25/03 01:44:29,0,1,0,0,
25/03 01:45:31,0,1,0,0,
25/03 01:46:33,0,1,0,0,
25/03 01:47:35,0,1,0,0,
25/03 01:48:35,0,1,0,0,
25/03 01:49:38,0,1,0,0,
25/03 01:50:39,0,1,0,0,
25/03 01:51:39,0,1,0,0,
25/03 01:52:40,0,1,0,0,
25/03 01:53:40,0,1,0,0,
25/03 01:54:42,0,1,0,0,
25/03 01:55:44,0,1,0,0,
25/03 01:56:44,0,1,0,0,
25/03 01:57:45,0,1,0,0,
25/03 01:57:51,3,0,0,4,
25/03 01:57:52,5,0,0,0,
25/03 01:58:52,0,1,0,0,
25/03 01:58:57,2,0,0,4,
25/03 01:58:59,2,0,0,0,
25/03 01:59:01,1,0,0,0,
25/03 01:59:11,2,0,0,4,
25/03 01:59:12,2,0,0,0,
25/03 01:59:25,1,0,0,0,
25/03 01:59:53,0,1,0,0,
25/03 02:00:53,0,1,0,0,
25/03 02:01:07,6,0,0,4,
25/03 02:01:54,0,1,0,0,
25/03 02:02:24,3,0,0,4,
25/03 02:02:25,1,0,0,0,
25/03 02:02:54,0,1,0,0,
25/03 02:03:35,2,0,0,4,
25/03 02:03:36,3,0,0,0,
25/03 02:03:55,2,0,0,4,
25/03 02:03:56,2,1,0,0,
25/03 02:04:58,0,1,0,0,
25/03 02:05:49,4,0,0,4,
25/03 02:05:52,1,0,0,0,
25/03 02:05:53,2,0,0,4,
25/03 02:05:54,3,0,0,0,
25/03 02:05:59,0,1,0,0,
25/03 02:07:00,0,1,0,0,
25/03 02:08:00,0,1,0,0,
25/03 02:09:01,0,1,0,0,
25/03 02:10:02,0,1,0,0,
25/03 02:11:03,0,1,0,0,
25/03 02:12:03,0,1,0,0,
25/03 02:13:04,0,1,0,0,
25/03 02:14:05,0,1,0,0,
25/03 02:15:06,0,1,0,0,
25/03 02:16:08,0,1,0,0,
25/03 02:17:10,0,1,0,0,
25/03 02:18:11,0,1,0,0,
25/03 02:19:13,0,1,0,0,
25/03 02:20:14,0,1,0,0,
25/03 02:21:14,1,0,0,0,
25/03 02:21:15,0,1,0,0,
25/03 02:21:17,1,0,0,0,
25/03 02:22:15,0,1,0,0,
25/03 02:23:17,0,1,0,0,
25/03 02:24:17,0,1,0,0,
25/03 02:25:18,0,1,0,0,
25/03 02:26:21,0,1,0,0,
25/03 02:27:23,0,1,0,0,
25/03 02:28:24,0,1,0,0,
25/03 02:28:41,1,0,0,0,
25/03 02:29:24,0,1,0,0,
25/03 02:30:27,0,1,0,0,
25/03 02:31:28,0,1,0,0,
25/03 02:32:29,0,1,0,0,
25/03 02:32:50,1,0,0,0,
25/03 02:33:30,0,1,0,0,
25/03 02:34:30,0,1,0,0,
25/03 02:35:32,0,1,0,0,
25/03 02:36:33,0,1,0,0,
25/03 02:37:33,0,1,0,0,
25/03 02:38:34,0,1,0,0,
25/03 02:39:34,0,1,0,0,
25/03 02:40:36,0,1,0,0,
25/03 02:41:38,0,1,0,0,
25/03 02:41:39,1,0,0,0,
25/03 02:42:39,0,1,0,0,
25/03 02:43:39,0,1,0,0,
25/03 02:44:41,0,1,0,0,
25/03 02:45:42,0,1,0,0,
25/03 02:46:44,0,1,0,0,
25/03 02:47:45,0,1,0,0,
25/03 02:48:46,0,1,0,0,
25/03 02:49:46,0,1,0,0,
25/03 02:50:47,0,1,0,0,
25/03 02:51:49,0,1,0,0,
25/03 02:52:49,0,1,0,0,
25/03 02:53:49,0,1,0,0,
25/03 02:54:51,0,1,0,0,
25/03 02:55:52,0,1,0,0,
25/03 02:56:55,0,1,0,0,
25/03 02:57:59,0,1,0,0,
25/03 02:58:59,0,1,0,0,
25/03 03:00:00,0,1,0,0,
25/03 03:01:00,0,1,0,0,
25/03 03:02:02,0,1,0,0,
25/03 03:03:03,0,1,0,0,
25/03 03:04:03,0,1,0,0,
25/03 03:05:04,0,1,0,0,
25/03 03:06:05,0,1,0,0,
25/03 03:07:06,0,1,0,0,
25/03 03:08:07,0,1,0,0,
25/03 03:09:11,0,1,0,0,
25/03 03:10:12,0,1,0,0,
25/03 03:11:14,0,1,0,0,
25/03 03:12:15,0,1,0,0,
25/03 03:13:15,0,1,0,0,
25/03 03:14:16,0,1,0,0,
25/03 03:15:17,0,1,0,0,
25/03 03:15:42,1,0,0,0,
25/03 03:16:18,0,1,0,0,
25/03 03:17:18,0,1,0,0,
25/03 03:18:19,0,1,0,0,
25/03 03:19:21,0,1,0,0,
25/03 03:19:44,1,0,0,0,
25/03 03:20:21,0,1,0,0,
25/03 03:21:24,0,1,0,0,
25/03 03:22:24,0,1,0,0,
25/03 03:23:24,0,1,0,0,
25/03 03:24:25,0,1,0,0,
25/03 03:25:25,0,1,0,0,
25/03 03:26:26,0,1,0,0,
25/03 03:27:26,0,1,0,0,
25/03 03:28:28,0,1,0,0,
25/03 03:29:30,0,1,0,0,
25/03 03:30:04,1,0,0,0,
25/03 03:30:31,0,1,0,0,
25/03 03:31:33,0,1,0,0,
25/03 03:32:34,0,1,0,0,
25/03 03:33:35,0,1,0,0,
25/03 03:34:37,0,1,0,0,
25/03 03:35:38,0,1,0,0,
25/03 03:36:38,0,1,0,0,
25/03 03:37:39,0,1,0,0,
25/03 03:38:40,0,1,0,0,
25/03 03:39:40,0,1,0,0,
25/03 03:40:41,0,1,0,0,
25/03 03:41:43,0,1,0,0,
25/03 03:42:44,0,1,0,0,
25/03 03:43:44,0,1,0,0,
25/03 03:44:45,0,1,0,0,
25/03 03:45:46,0,1,0,0,
25/03 03:46:48,0,1,0,0,
25/03 03:47:48,0,1,0,0,
25/03 03:48:50,0,1,0,0,
25/03 03:49:51,0,1,0,0,
25/03 03:50:51,0,1,0,0,
25/03 03:51:04,2,0,0,4,
25/03 03:51:06,4,0,0,0,
25/03 03:51:53,0,1,0,0,
25/03 03:52:04,4,0,0,4,
25/03 03:52:24,8,0,0,4,
25/03 03:52:28,1,0,0,0,
25/03 03:52:55,0,1,0,0,
25/03 03:53:41,2,0,0,4,
25/03 03:53:42,1,0,0,0,
25/03 03:53:56,0,1,0,0,
25/03 03:54:06,3,0,0,4,
25/03 03:54:08,1,0,0,0,
25/03 03:54:28,3,0,0,4,
25/03 03:54:58,0,1,0,0,
25/03 03:55:22,2,0,0,4,
25/03 03:55:58,0,1,0,0,
25/03 03:56:59,0,1,0,0,
25/03 03:57:41,3,0,0,4,
25/03 03:58:01,0,1,0,0,
25/03 03:59:02,0,1,0,0,
25/03 03:59:06,3,0,0,4,
25/03 03:59:08,2,0,0,0,
25/03 03:59:12,3,0,0,4,
25/03 03:59:13,2,0,0,0,
25/03 04:00:02,0,1,0,0,
25/03 04:01:02,0,1,0,0,
25/03 04:02:03,0,1,0,0,
25/03 04:03:05,0,1,0,0,
25/03 04:04:06,0,1,0,0,
25/03 04:05:07,0,1,0,0,
25/03 04:05:30,4,0,0,4,
25/03 04:05:31,2,0,0,4,
25/03 04:05:33,1,0,0,0,
25/03 04:06:08,0,1,0,0,
25/03 04:06:47,2,0,0,4,
25/03 04:06:48,3,0,0,0,
25/03 04:07:08,0,1,0,0,
25/03 04:08:09,0,1,0,0,
25/03 04:09:09,0,1,0,0,
25/03 04:09:56,3,0,0,4,
25/03 04:09:57,1,0,0,0,
25/03 04:10:12,0,1,0,0,
25/03 04:11:12,0,1,0,0,
25/03 04:11:15,2,0,0,4,
25/03 04:12:13,0,1,0,0,
25/03 04:13:13,0,1,0,0,
25/03 04:14:14,0,1,0,0,
25/03 04:15:15,0,1,0,0,
25/03 04:15:26,5,0,0,4,
25/03 04:16:15,0,1,0,0,
25/03 04:17:15,0,1,0,0,
25/03 04:18:16,0,1,0,0,
25/03 04:19:17,0,1,0,0,
25/03 04:20:20,0,1,0,0,
25/03 04:21:20,0,1,0,0,
25/03 04:22:21,0,1,0,0,
25/03 04:23:23,0,1,0,0,
25/03 04:24:25,0,1,0,0,
25/03 04:25:26,0,1,0,0,
25/03 04:26:27,0,1,0,0,
25/03 04:27:28,0,1,0,0,
25/03 04:28:30,0,1,0,0,
25/03 04:29:31,0,1,0,0,
25/03 04:30:32,0,1,0,0,
25/03 04:31:33,0,1,0,0,
25/03 04:32:34,0,1,0,0,
25/03 04:33:36,0,1,0,0,
25/03 04:34:38,0,1,0,0,
25/03 04:35:39,0,1,0,0,
25/03 04:36:41,0,1,0,0,
25/03 04:37:43,0,1,0,0,
25/03 04:38:44,0,1,0,0,
25/03 04:39:45,0,1,0,0,
25/03 04:40:46,0,1,0,0,
25/03 04:41:46,0,1,0,0,
25/03 04:42:47,0,1,0,0,
25/03 04:43:50,0,1,0,0,
25/03 04:44:51,0,1,0,0,
25/03 04:45:51,0,1,0,0,
25/03 04:46:51,0,1,0,0,
25/03 04:47:52,0,1,0,0,
25/03 04:48:54,0,1,0,0,
25/03 04:49:55,0,1,0,0,
25/03 04:50:56,0,1,0,0,
25/03 04:51:51,3,0,0,0,
25/03 04:51:53,1,0,0,0,
25/03 04:51:58,0,1,0,0,
25/03 04:53:01,0,1,0,0,
25/03 04:54:02,0,1,0,0,
25/03 04:55:02,0,1,0,0,
25/03 04:55:49,1,0,0,0,
25/03 04:56:04,0,1,0,0,
25/03 04:57:04,0,1,0,0,
25/03 04:58:05,0,1,0,0,
25/03 04:58:24,1,0,0,0,
25/03 04:59:07,0,1,0,0,
25/03 05:00:08,0,1,0,0,
25/03 05:01:10,0,1,0,0,
25/03 05:02:11,0,1,0,0,
25/03 05:03:12,0,1,0,0,
25/03 05:04:14,0,1,0,0,
25/03 05:05:18,0,1,0,0,
25/03 05:06:19,0,1,0,0,
25/03 05:07:20,0,1,0,0,
25/03 05:08:21,0,1,0,0,
25/03 05:09:23,0,1,0,0,
25/03 05:10:24,0,1,0,0,
25/03 05:11:26,0,1,0,0,
25/03 05:12:27,0,1,0,0,
25/03 05:13:27,0,1,0,0,
25/03 05:14:28,0,1,0,0,
25/03 05:15:30,0,1,0,0,
25/03 05:16:32,0,1,0,0,
25/03 05:17:32,0,1,0,0,
25/03 05:18:33,0,1,0,0,
25/03 05:19:33,0,1,0,0,
25/03 05:20:34,0,1,0,0,
25/03 05:21:34,0,1,0,0,
25/03 05:22:36,0,1,0,0,
25/03 05:23:37,0,1,0,0,
25/03 05:24:39,0,1,0,0,
25/03 05:25:44,0,1,0,0,
25/03 05:26:46,0,1,0,0,
25/03 05:27:47,0,1,0,0,
25/03 05:28:47,0,1,0,0,
25/03 05:29:47,0,1,0,0,
25/03 05:30:50,0,1,0,0,
25/03 05:30:58,2,0,0,0,
25/03 05:31:00,2,0,0,0,
25/03 05:31:38,5,0,0,4,
25/03 05:31:52,0,1,0,0,
25/03 05:32:53,0,1,0,0,
25/03 05:33:41,3,0,0,4,
25/03 05:33:42,1,0,0,0,
25/03 05:33:54,0,1,0,0,
25/03 05:34:55,0,1,0,0,
25/03 05:35:16,3,0,0,4,
25/03 05:35:18,1,0,0,0,
25/03 05:35:59,0,1,0,0,
25/03 05:37:01,0,1,0,0,
25/03 05:38:02,0,1,0,0,
25/03 05:38:25,2,0,0,4,
25/03 05:38:27,1,0,0,0,
25/03 05:39:03,0,1,0,0,
25/03 05:40:04,0,1,0,0,
25/03 05:41:05,0,1,0,0,
25/03 05:41:11,2,0,0,4,
25/03 05:42:06,0,1,0,0,
25/03 05:43:07,0,1,0,0,
25/03 05:44:08,0,1,0,0,
25/03 05:45:09,0,1,0,0,
25/03 05:46:12,0,1,0,0,
25/03 05:47:13,0,1,0,0,
25/03 05:48:13,0,1,0,0,
25/03 05:49:15,0,1,0,0,
25/03 05:50:16,0,1,0,0,
25/03 05:51:21,0,1,0,0,
25/03 05:51:42,3,0,0,4,
25/03 05:52:22,0,1,0,0,
25/03 05:53:23,0,1,0,0,
25/03 05:54:25,0,1,0,0,
25/03 05:55:07,3,0,0,4,
25/03 05:55:25,0,1,0,0,
25/03 05:56:25,0,1,0,0,
25/03 05:57:27,0,1,0,0,
25/03 05:58:28,0,1,0,0,
25/03 05:58:36,2,0,0,3,
25/03 05:58:37,0,0,0,1,
25/03 05:59:29,0,1,0,0,
25/03 06:00:29,0,1,0,0,
25/03 06:01:30,0,1,0,0,
25/03 06:02:30,0,1,0,0,
25/03 06:03:31,4,0,0,4,
25/03 06:03:33,0,1,0,0,
25/03 06:04:35,0,1,0,0,
25/03 06:05:35,0,1,0,0,
25/03 06:06:39,0,1,0,0,
25/03 06:07:45,0,1,0,0,
25/03 06:08:46,0,1,0,0,
25/03 06:09:48,0,1,0,0,
25/03 06:10:49,0,1,0,0,
25/03 06:11:50,0,1,0,0,
25/03 06:12:51,0,1,0,0,
25/03 06:13:51,0,1,0,0,
25/03 06:14:52,0,1,0,0,
25/03 06:15:53,0,1,0,0,
25/03 06:16:55,0,1,0,0,
25/03 06:17:57,0,1,0,0,
25/03 06:18:58,0,1,0,0,
25/03 06:19:58,0,1,0,0,
25/03 06:21:01,0,1,0,0,
25/03 06:22:02,0,1,0,0,
25/03 06:23:02,0,1,0,0,
25/03 06:24:03,0,1,0,0,
25/03 06:25:06,0,1,0,0,
25/03 06:26:08,0,1,0,0,
25/03 06:27:10,0,1,0,0,
25/03 06:28:11,0,1,0,0,
25/03 06:29:13,0,1,0,0,
25/03 06:30:13,0,1,0,0,
25/03 06:31:13,0,1,0,0,
25/03 06:32:15,0,1,0,0,
25/03 06:33:15,0,1,0,0,
25/03 06:34:15,0,1,0,0,
25/03 06:35:18,0,1,0,0,
25/03 06:36:20,0,1,0,0,
25/03 06:37:20,0,1,0,0,
25/03 06:38:24,0,1,0,0,
25/03 06:39:25,0,1,0,0,
25/03 06:40:27,0,1,0,0,
25/03 06:41:28,0,1,0,0,
25/03 06:42:29,0,1,0,0,
25/03 06:43:30,0,1,0,0,
25/03 06:44:14,2,0,0,0,
25/03 06:44:31,0,1,0,0,
25/03 06:45:33,0,1,0,0,
25/03 06:46:33,0,1,0,0,
25/03 06:47:34,0,1,0,0,
25/03 06:48:37,0,1,0,0,
25/03 06:49:39,0,1,0,0,
25/03 06:50:39,0,1,0,0,
25/03 06:51:40,0,1,0,0,
25/03 06:52:40,0,1,0,0,
25/03 06:53:41,0,1,0,0,
25/03 06:54:44,0,1,0,0,
25/03 06:55:46,0,1,0,0,
25/03 06:56:47,0,1,0,0,
25/03 06:57:48,0,1,0,0,
25/03 06:58:49,0,1,0,0,
25/03 06:59:51,0,1,0,0,
25/03 07:00:51,0,1,0,0,
25/03 07:01:54,0,1,0,0,
25/03 07:02:56,0,1,0,0,
25/03 07:03:57,0,1,0,0,
25/03 07:04:58,0,1,0,0,
25/03 07:06:00,0,1,0,0,
25/03 07:07:03,0,1,0,0,
25/03 07:08:04,0,1,0,0,
25/03 07:09:05,0,1,0,0,
25/03 07:10:06,0,1,0,0,
25/03 07:11:07,0,1,0,0,
25/03 07:12:08,0,1,0,0,
25/03 07:13:08,0,1,0,0,
25/03 07:14:10,0,1,0,0,
25/03 07:15:13,0,1,0,0,
25/03 07:16:15,0,1,0,0,
25/03 07:17:16,0,1,0,0,
25/03 07:18:17,0,1,0,0,
25/03 07:19:18,0,1,0,0,
25/03 07:20:19,0,1,0,0,
25/03 07:21:23,0,1,0,0,
25/03 07:22:26,0,1,0,0,
25/03 07:23:28,0,1,0,0,
25/03 07:24:29,0,1,0,0,
25/03 07:25:30,0,1,0,0,
25/03 07:26:30,0,1,0,0,
25/03 07:27:32,1,1,0,0,
25/03 07:28:34,2,1,0,4,
25/03 07:28:36,3,0,0,0,
25/03 07:29:35,0,1,0,0,
25/03 07:29:48,1,0,0,2,
25/03 07:29:49,1,0,0,2,
25/03 07:29:50,1,0,0,0,
25/03 07:30:39,0,1,0,0,
25/03 07:31:02,0,0,0,1,
25/03 07:31:03,5,0,0,3,
25/03 07:31:39,0,1,0,0,
25/03 07:32:23,1,0,0,0,
25/03 07:32:40,0,1,0,0,
25/03 07:33:40,0,1,0,0,
25/03 07:34:42,0,1,0,0,
25/03 07:35:43,0,1,0,0,
25/03 07:36:44,0,1,0,0,
25/03 07:37:43,2,0,0,0,
25/03 07:37:47,0,1,0,0,
25/03 07:38:49,0,1,0,0,
25/03 07:39:31,3,0,0,4,
25/03 07:39:32,4,0,0,0,
25/03 07:39:50,0,1,0,0,
25/03 07:40:51,0,1,0,0,
25/03 07:41:53,0,1,0,0,
25/03 07:42:53,0,1,0,0,
25/03 07:43:50,3,0,0,4,
25/03 07:43:54,0,1,0,0,
25/03 07:44:54,0,1,0,0,
25/03 07:45:56,0,1,0,0,
25/03 07:46:58,0,1,0,0,
25/03 07:48:01,0,1,0,0,
25/03 07:49:03,0,1,0,0,
25/03 07:50:06,0,1,0,0,
25/03 07:51:08,0,1,0,0,
25/03 07:51:47,3,0,0,0,
25/03 07:52:08,0,1,0,0,
25/03 07:52:39,2,0,0,4,
25/03 07:52:41,2,0,0,0,
25/03 07:53:09,0,1,0,0,
25/03 07:54:01,3,0,0,4,
25/03 07:54:03,1,0,0,0,
25/03 07:54:10,2,1,0,0,
25/03 07:54:12,1,0,0,0,
25/03 07:54:16,5,0,0,4,
25/03 07:55:12,0,1,0,0,
25/03 07:55:31,2,0,0,4,
25/03 07:55:32,1,0,0,0,
25/03 07:56:12,0,1,0,0,
25/03 07:56:34,1,0,0,0,
25/03 07:57:13,0,1,0,0,
25/03 07:58:13,0,1,0,0,
25/03 07:59:11,2,0,0,4,
25/03 07:59:14,0,1,0,0,
25/03 08:00:17,0,1,0,0,
25/03 08:01:20,0,1,0,0,
25/03 08:02:21,0,1,0,0,
25/03 08:03:22,0,1,0,0,
25/03 08:04:23,0,1,0,0,
25/03 08:04:50,3,0,0,4,
25/03 08:05:24,0,1,0,0,
25/03 08:06:15,2,0,0,4,
25/03 08:06:24,0,1,0,0,
25/03 08:07:25,0,1,0,0,
25/03 08:08:25,0,1,0,0,
25/03 08:09:17,3,0,0,4,
25/03 08:09:27,0,1,0,0,
25/03 08:10:29,0,1,0,0,
25/03 08:10:37,3,0,0,4,
25/03 08:11:31,0,1,0,0,
25/03 08:11:55,3,0,0,4,
25/03 08:11:57,1,0,0,0,
25/03 08:12:33,0,1,0,0,
25/03 08:13:33,0,1,0,0,
25/03 08:14:34,0,1,0,0,
25/03 08:15:24,3,0,0,4,
25/03 08:15:35,0,1,0,0,
25/03 08:16:36,0,1,0,0,
25/03 08:16:46,3,0,0,4,
25/03 08:16:48,2,0,0,0,
25/03 08:17:37,0,1,0,0,
25/03 08:18:38,0,1,0,0,
25/03 08:19:42,0,1,0,0,
25/03 08:20:45,0,1,0,0,
25/03 08:21:46,0,1,0,0,
25/03 08:22:47,0,1,0,0,
25/03 08:23:49,0,1,0,0,
25/03 08:24:52,0,1,0,0,
25/03 08:25:52,0,1,0,0,
25/03 08:26:54,0,1,0,0,
25/03 08:27:55,0,1,0,0,
25/03 08:28:55,0,1,0,0,
25/03 08:29:57,0,1,0,0,
25/03 08:30:58,0,1,0,0,
25/03 08:31:59,0,1,0,0,
25/03 08:33:02,0,1,0,0,
25/03 08:34:02,0,1,0,0,
25/03 08:35:04,0,1,0,0,
25/03 08:36:05,0,1,0,0,
