date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 16:52:45,,,,75.0,8744.0,14188.0,305.76,20.59,6.65,141.0,6308.0,51130.0,407.36,3.87,28.11,5.87,92.0,14104.0,316.43,27.3,5.6,658380,120,0.08,0.1,627.0,115.0,51.13,18.18,2360.0,1019.0,13646.78,5649.31,2316.0,2135.0,11294.03,15185.27,2291.0,1049.0,13171.44,5761.61
10/04 16:52:46,,,,85.15,4792.08,13572.28,215.67,20.36,6.92,174.26,8916.83,57421.78,380.69,5.97,33.24,4.9,104.95,17071.29,299.91,23.35,6.26,658428,100,0.07,0.17,629.7,110.89,52.13,17.76,2522.77,1118.81,15009.81,5755.53,2584.16,2097.03,13172.22,14237.61,2765.35,1294.06,16709.27,7090.74
10/04 16:52:47,,,,94.0,8798.0,20454.0,311.19,22.0,6.24,178.0,12252.0,54640.0,375.8,5.26,29.99,5.17,104.0,22238.0,326.85,24.59,6.52,658460,136,0.08,0.23,612.0,114.0,49.01,17.63,2899.0,1462.0,17674.65,8377.64,2922.0,2410.0,15751.87,16602.55,2891.0,1408.0,17517.06,7808.27
10/04 16:52:48,,,,120.0,10854.0,25120.0,299.78,39.19,5.92,169.0,10648.0,46376.0,337.42,8.31,49.72,5.69,118.0,23246.0,314.19,22.08,6.8,658492,168,0.05,0.2,638.0,118.0,50.09,18.6,2467.0,1857.0,13184.23,12033.23,3632.0,2676.0,21777.21,17860.45,2282.0,1526.0,12060.98,9741.3
10/04 16:52:49,,,,88.0,8322.0,18672.0,306.75,18.33,7.28,150.0,9162.0,41234.0,335.97,6.21,36.04,5.84,122.0,26038.0,298.59,28.27,6.5,658524,200,0.1,0.2,629.0,115.0,51.72,18.13,2196.0,1443.0,11167.44,9139.55,2975.0,2191.0,16850.07,14099.33,3079.0,1351.0,19311.44,7169.65
10/04 16:52:50,,,,110.89,6348.51,22744.55,262.36,82.34,8.98,153.47,11908.91,46215.84,378.75,4.9,35.28,5.92,60.4,11526.73,360.03,18.97,7.38,658880,232,0.12,0.17,630.69,112.87,52.03,17.41,2201.98,1310.89,11415.26,8473.68,2870.3,2132.67,15919.82,14326.49,2287.13,1203.96,12583.29,7139.87
10/04 16:52:51,,,,163.0,20048.0,22588.0,261.57,52.61,5.69,155.0,17476.0,36304.0,346.97,12.97,77.92,6.45,122.0,24066.0,284.05,38.0,6.14,658632,268,0.15,0.25,628.0,109.0,50.15,17.52,2195.0,1703.0,10618.69,11842.26,3730.0,3341.0,21226.0,23292.76,2435.0,1528.0,13494.92,9414.77
10/04 16:52:52,,,,157.43,14061.39,32055.45,292.94,39.98,5.5,153.47,13116.83,32160.4,295.03,14.43,90.77,6.5,118.81,22811.88,295.32,41.72,6.47,658324,300,0.15,0.2,621.78,115.84,50.03,17.83,2079.21,1433.66,10270.22,9068.55,3439.6,2902.97,18979.51,19902.25,2129.7,1585.15,10589.78,10318.89
10/04 16:52:53,,,,121.0,11496.0,23136.0,286.21,29.31,6.26,183.0,13776.0,45536.0,324.11,8.19,54.02,5.33,116.0,23196.0,278.91,96.78,8.63,658320,328,0.08,0.2,625.0,111.0,49.48,17.67,2456.0,1441.0,13590.6,8814.17,2802.0,2347.0,15069.55,16373.56,2520.0,1210.0,14563.71,6494.17
10/04 16:52:54,,,,112.87,6768.32,26390.1,293.77,33.32,6.38,166.34,8889.11,49409.9,350.49,7.51,44.45,4.93,129.7,22679.21,250.81,32.75,6.68,658340,364,0.12,0.22,625.74,115.84,49.94,18.33,3363.37,1467.33,21711.4,7564.15,2873.27,1923.76,16316.14,11921.34,2560.4,1433.66,14473.63,8530.3
10/04 16:52:55,,,,114.0,11008.0,19622.0,268.68,17.48,6.36,161.0,13640.0,46500.0,373.54,6.06,37.73,5.75,129.0,26978.0,302.37,22.04,6.65,658712,392,0.08,0.18,642.0,111.0,49.91,17.17,2874.0,1781.0,16664.17,11448.19,3359.0,2721.0,18560.6,18538.21,2300.0,1209.0,12419.08,6704.56
