date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 17:08:35,,,,155.0,16712.0,27986.0,288.37,55.92,5.97,181.0,16094.0,43414.0,328.77,9.99,52.57,5.52,153.0,24408.0,255.12,34.71,5.85,687664,520,0.1,0.2,612.0,118.0,46.98,17.87,2740.0,1674.0,15888.48,10106.45,3656.0,3366.0,19876.51,23714.45,2309.0,1492.0,11923.81,9114.52
10/04 17:08:37,,,,154.0,15010.0,32428.0,308.04,42.59,5.64,205.0,24234.0,38056.0,303.85,11.51,72.65,4.88,165.0,29808.0,310.41,53.29,5.67,692696,648,0.48,0.3,616.0,114.0,47.52,17.63,2666.0,1487.0,14964.4,8276.1,3968.0,4290.0,21310.38,31156.53,2612.0,1969.0,13817.99,12998.81
10/04 17:08:39,,,,171.0,17034.0,32120.0,287.45,36.48,5.4,191.0,19902.0,42112.0,324.68,5.08,26.7,5.19,119.0,20892.0,297.51,20.83,6.03,692772,724,0.35,0.28,624.0,144.0,48.13,276.15,2604.0,1688.0,14442.61,10542.45,3888.0,3679.0,21325.45,25991.91,2328.0,1697.0,11814.3,10971.63
10/04 17:08:41,,,,149.0,15484.0,27174.0,286.3,34.17,5.94,152.0,18066.0,30960.0,322.54,7.51,44.95,5.39,150.0,24792.0,276.6,41.43,5.98,692856,808,0.4,0.25,613.0,111.0,47.49,16.82,2020.0,1928.0,7678.2,13134.89,4448.0,3730.0,26664.28,25646.6,1870.0,1968.0,6498.7,13518.59
10/04 17:08:43,,,,141.0,12788.0,27378.0,284.87,33.73,5.82,120.0,12826.0,20794.0,280.17,3.38,34.38,6.92,121.0,22094.0,280.08,25.93,6.6,692904,860,0.38,0.18,609.0,124.0,47.8,19.21,2096.0,1486.0,10267.09,9600.68,3229.0,2745.0,18323.45,18904.11,1768.0,1241.0,7626.33,7756.12
10/04 17:08:45,,,,148.0,18590.0,28336.0,317.07,45.69,5.82,162.0,23684.0,27574.0,316.41,5.32,29.62,5.34,171.0,31472.0,310.55,45.36,5.68,693012,960,0.4,0.25,610.0,129.0,48.88,36.11,2146.0,1541.0,10712.56,10000.52,3804.0,4373.0,20368.91,32264.05,2172.0,1593.0,10894.2,10319.82
10/04 17:08:47,,,,146.0,19462.0,24488.0,301.03,39.08,5.82,117.0,9414.0,22846.0,275.73,1.92,16.97,6.01,165.0,29708.0,279.99,30.04,5.56,693088,1052,0.4,0.28,612.0,119.0,47.62,18.18,2038.0,1468.0,9669.95,9566.67,3651.0,3253.0,20232.29,22408.3,2170.0,1648.0,10841.26,10963.48
10/04 17:08:49,,,,170.0,10706.0,36558.0,278.02,56.56,5.88,151.0,20060.0,27306.0,313.68,5.38,35.29,6.12,177.0,33058.0,307.46,86.82,5.65,693164,224,0.35,0.28,619.0,106.0,48.86,17.3,2390.0,1845.0,12132.47,12217.71,4739.0,3904.0,28371.28,26358.26,2114.0,2212.0,9068.67,16259.95
10/04 17:08:51,,,,170.0,16908.0,29314.0,271.89,35.12,5.68,151.0,18652.0,25946.0,295.35,5.28,36.52,5.96,126.0,20302.0,290.54,26.48,6.62,693240,304,0.45,0.23,619.0,106.0,48.09,17.1,2040.0,1592.0,9325.06,10175.83,3680.0,3676.0,18976.32,26240.41,2243.0,1483.0,11077.1,9168.97
10/04 17:08:53,,,,123.0,11682.0,24308.0,292.6,24.72,6.63,128.0,9102.0,23828.0,257.27,3.53,27.57,5.84,160.0,30752.0,283.95,35.9,5.72,693316,372,0.4,0.23,609.0,108.0,47.4,17.02,2242.0,1395.0,11635.17,8286.07,3286.0,2678.0,17988.16,17930.15,2149.0,1543.0,10653.5,9689.11
