date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,contCmd_AbortMigration:02759,contCmd_AddCombGroup:04264,contCmd_EndMigration:02787,contCmd_RemCombIntern:02339,contCmd_SetCombState:02697,contCmd_StartMigration:02731,contCombMngr_UpdateAllCombFirstAccess:00713,contCombMngr_UpdateAllCombFirstAccess:00724,contNet_DisconnectedNotif:01678,contNet_OscillationNotif:01786,contTgt_ConnectedNotif:00845,contTgt_DisconnectedNotif:00896,contTgt_SendDegradeRequest:00953,contTgt_SendDegradeRequest:00982,ioh_NewRequest:05796,ioh_NewRequest:06219,ioh_NewRequest:06481,netMsgSndSync_Wait:00305,netPath_IsKaNeeded:01858,netPath_RcvLoop_CK:01308,netPath_RcvLoop_CK:01329,netPath_RcvLoop_CK:01359,phyComb_CleanToothList:03791,phy_FreeComb:00523,raidComb_CheckDegradePermit:01795,raidComb_EndMigrateInter:03439,raidComb_GetRemoteDrl:01651,raidComb_GetRemoteDrl:01669,raidComb_Init:00462,raidComb_ResetRemoteDrl:09431,raidComb_SendMdmCombState:00920,raidComb_SendMdmCombState:00944,raidComb_SendMdmCombState:01028,raidComb_SendMdmCombState:01053,raidComb_SendSyncedCleanToothListToSec:10914,raidComb_SetCombState:01195,raidComb_SetPriTgtGenNum:02809,raidComb_ShouldTryAgain:06987,raidComb_UpdateWriteError:01874,raidComb_WaitForRemoteResponse:06389,raidComb_WaitForRemoteResponse:06418,raidMigrate_Start:00425,raidRebuild_Start:00389,raidRebuild_Start:00823,raidRebuild_Start:00982,,IO_LONG_30,REMOTE_IS_UNREACHABLE,Latency_172.18.158.42,IO_LONG_120,IO_SUBMIT_EXCEEDED_LIMIT,SCHEDULER_STUCK,ASYNC_IO_CK_EXCEEDED_LIMIT,IO_LONG_60,RPC_SEND_LINGERED_5SEC,MDM_IS_UNREACHABLE,WRITE_KA_CAUSED_DISCONNECT,SND_ERR_NOT_CONNECTED,IO_TIMEDOUT,RCV_MSG_RPC_NOT_FOUND,RPC_LINGERED_3SEC,CONNECTION_DOWN,IO_LONG_15,RCV_SOCK_IO_ERR,KA_CAUSED_DISCONNECT,NET_CHAN_REJECTED_MSG,RCV_ERR,IO_LONG_1,CON_SND_MSG_ABORTED,IO_LONG_5,RPC_TIMED_OUT,SND_ERR,DROPPED_REQUESTS,RPC_LINGERED_1SEC,NET_CHAN_ESTABLISH_ERROR,Latency_172.16.158.32,SOCKET_DOWN,RCV_TIMEOUT,NET_CHAN_UPDATED,MESSAGE_PEER_ID_MISMATCH,SND_TIMEOUT,NET_CON_CK_EXCEEDED_LIMIT,SND_SOCK_IO_ERR,IO_RETRY_10,SOCKET_CK_EXCEEDED_LIMIT,MALLOC_FAILED,dev_sda_tps,dev_sda_rd_sec,dev_sda_wr_sec,dev_sda_avgrq-sz,dev_sda_avgqu-sz,dev_sda_await,dev_sda_svctm,dev_sda_util-percent,dev_sdb_tps,dev_sdb_rd_sec,dev_sdb_wr_sec,dev_sdb_avgrq-sz,dev_sdb_avgqu-sz,dev_sdb_await,dev_sdb_svctm,dev_sdb_util-percent,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_avgqu-sz,dev_sdc_await,dev_sdc_svctm,dev_sdc_util-percent,dev_sdd_tps,dev_sdd_rd_sec,dev_sdd_wr_sec,dev_sdd_avgrq-sz,dev_sdd_avgqu-sz,dev_sdd_await,dev_sdd_svctm,dev_sdd_util-percent,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sde_util-percent,dev_sdh_tps,dev_sdh_rd_sec,dev_sdh_wr_sec,dev_sdh_avgrq-sz,dev_sdh_avgqu-sz,dev_sdh_await,dev_sdh_svctm,dev_sdh_util-percent,dev_sdg_tps,dev_sdg_rd_sec,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_avgqu-sz,dev_sdg_await,dev_sdg_svctm,dev_sdg_util-percent,dev_sdj_tps,dev_sdj_rd_sec,dev_sdj_wr_sec,dev_sdj_avgrq-sz,dev_sdj_avgqu-sz,dev_sdj_await,dev_sdj_svctm,dev_sdj_util-percent,dev_sdi_tps,dev_sdi_rd_sec,dev_sdi_wr_sec,dev_sdi_avgrq-sz,dev_sdi_avgqu-sz,dev_sdi_await,dev_sdi_svctm,dev_sdi_util-percent,dev_sdf_tps,dev_sdf_rd_sec,dev_sdf_wr_sec,dev_sdf_avgrq-sz,dev_sdf_avgqu-sz,dev_sdf_await,dev_sdf_svctm,dev_sdf_util-percent,dev_sdk_tps,dev_sdk_rd_sec,dev_sdk_wr_sec,dev_sdk_avgrq-sz,dev_sdk_avgqu-sz,dev_sdk_await,dev_sdk_svctm,dev_sdk_util-percent,memfree,memused,memused-percent,buffers,cached,commit,commit-percent,active,inactive,dirty,cpu_all_usr,cpu_all_nice,cpu_all_sys,cpu_all_iowait,cpu_all_steal,cpu_all_irq,cpu_all_soft,cpu_all_guest,cpu_all_gnice,cpu_all_idle,iface_enp2s0f0_rxpck,iface_enp2s0f0_txpck,iface_enp2s0f0_rxkB,iface_enp2s0f0_txkB,iface_enp2s0f0_rxcmp,iface_enp2s0f0_txcmp,iface_enp2s0f0_rxmcst,iface_enp2s0f1_rxpck,iface_enp2s0f1_txpck,iface_enp2s0f1_rxkB,iface_enp2s0f1_txkB,iface_enp2s0f1_rxcmp,iface_enp2s0f1_txcmp,iface_enp2s0f1_rxmcst,iface_enp2s0f2_rxpck,iface_enp2s0f2_txpck,iface_enp2s0f2_rxkB,iface_enp2s0f2_txkB,iface_enp2s0f2_rxcmp,iface_enp2s0f2_txcmp,iface_enp2s0f2_rxmcst,iface_enp2s0f3_rxpck,iface_enp2s0f3_txpck,iface_enp2s0f3_rxkB,iface_enp2s0f3_txkB,iface_enp2s0f3_rxcmp,iface_enp2s0f3_txcmp,iface_enp2s0f3_rxmcst,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f0_rxcmp,iface_enp6s0f0_txcmp,iface_enp6s0f0_rxmcst,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp6s0f1_rxcmp,iface_enp6s0f1_txcmp,iface_enp6s0f1_rxmcst,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f0_rxcmp,iface_enp131s0f0_txcmp,iface_enp131s0f0_rxmcst,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB,iface_enp131s0f1_rxcmp,iface_enp131s0f1_txcmp,iface_enp131s0f1_rxmcst
10/04 17:08:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2272,233108,0,0,0,0,0,123,0,0,0,0,0,159,0,0,0,56,159,0,0,1,0,731,46,111,13445,0,47569,79,0,685,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,16712.0,27986.0,288.37,7.11,55.92,5.97,92.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,16094.0,43414.0,328.77,9.99,52.57,5.52,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,14626.0,24408.0,255.12,4.74,34.71,5.85,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62828216,2765972,4.22,103232,687664,1308472,1.96,1086824,242332,520,0.1,0.0,0.2,0.0,0.0,0.0,0.03,0.0,0.0,99.67,21.0,17.0,3.05,10.26,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,118.0,46.98,17.87,0.0,0.0,0.0,2740.0,1674.0,15888.48,10106.45,0.0,0.0,0.0,3656.0,3366.0,19876.51,23714.45,0.0,0.0,0.0,2309.0,1492.0,11923.81,9114.52,0.0,0.0,0.0
10/04 17:08:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,233108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,47569,0,0,0,0,0,0,0,0,0,0,2.0,0.0,80.0,40.0,0.03,13.5,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,15010.0,32428.0,308.04,6.04,42.59,5.64,86.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,24234.0,38056.0,303.85,11.51,72.65,4.88,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,21410.0,29808.0,310.41,7.57,53.29,5.67,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62821976,2772212,4.23,103240,692696,1310264,1.97,1087652,247296,648,0.48,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,99.12,16.0,15.0,2.61,10.88,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,114.0,47.52,17.63,0.0,0.0,0.0,2666.0,1487.0,14964.4,8276.1,0.0,0.0,0.0,3968.0,4290.0,21310.38,31156.53,0.0,0.0,0.0,2612.0,1969.0,13817.99,12998.81,0.0,0.0,0.0
10/04 17:08:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,233108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47569,0,0,0,0,0,0,0,0,0,0,4.0,0.0,512.0,128.0,0.04,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,17034.0,32120.0,287.45,5.92,36.48,5.4,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,19902.0,42112.0,324.68,5.08,26.7,5.19,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,14512.0,20892.0,297.51,2.48,20.83,6.03,71.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62821652,2772536,4.23,103240,692772,1309996,1.97,1088520,246684,724,0.35,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,99.37,17.0,15.0,2.66,10.17,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,144.0,48.13,276.15,0.0,0.0,0.0,2604.0,1688.0,14442.61,10542.45,0.0,0.0,0.0,3888.0,3679.0,21325.45,25991.91,0.0,0.0,0.0,2328.0,1697.0,11814.3,10971.63,0.0,0.0,0.0
10/04 17:08:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,263690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55212,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,15484.0,27174.0,286.3,5.61,34.17,5.94,88.5,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,152.0,18066.0,30960.0,322.54,7.51,44.95,5.39,82.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,150.0,16698.0,24792.0,276.6,5.92,41.43,5.98,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62820412,2773776,4.23,103240,692856,1310620,1.97,1089024,246712,808,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.35,14.0,14.0,2.49,9.94,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,111.0,47.49,16.82,0.0,0.0,0.0,2020.0,1928.0,7678.2,13134.89,0.0,0.0,0.0,4448.0,3730.0,26664.28,25646.6,0.0,0.0,0.0,1870.0,1968.0,6498.7,13518.59,0.0,0.0,0.0
10/04 17:08:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,263690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55212,0,0,0,0,0,0,0,0,0,0,1.0,0.0,16.0,16.0,0.01,15.0,15.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,12788.0,27378.0,284.87,4.84,33.73,5.82,82.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,12826.0,20794.0,280.17,3.38,34.38,6.92,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,11796.0,22094.0,280.08,3.7,25.93,6.6,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62820048,2774140,4.23,103248,692904,1310700,1.97,1089376,246732,860,0.38,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,99.45,17.0,16.0,2.66,11.11,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,124.0,47.8,19.21,0.0,0.0,0.0,2096.0,1486.0,10267.09,9600.68,0.0,0.0,0.0,3229.0,2745.0,18323.45,18904.11,0.0,0.0,0.0,1768.0,1241.0,7626.33,7756.12,0.0,0.0,0.0
10/04 17:08:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,215479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42090,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,18590.0,28336.0,317.07,6.44,45.69,5.82,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,23684.0,27574.0,316.41,5.32,29.62,5.34,86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,21632.0,31472.0,310.55,7.49,45.36,5.68,97.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62820484,2773704,4.23,103248,693012,1309960,1.97,1089244,246780,960,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.35,18.0,17.0,2.77,10.5,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,129.0,48.88,36.11,0.0,0.0,0.0,2146.0,1541.0,10712.56,10000.52,0.0,0.0,0.0,3804.0,4373.0,20368.91,32264.05,0.0,0.0,0.0,2172.0,1593.0,10894.2,10319.82,0.0,0.0,0.0
10/04 17:08:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,215479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42090,0,0,0,0,0,0,0,0,0,0,2.0,0.0,104.0,52.0,0.02,9.0,8.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,19462.0,24488.0,301.03,6.37,39.08,5.82,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,9414.0,22846.0,275.73,1.92,16.97,6.01,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,16490.0,29708.0,279.99,5.17,30.04,5.56,91.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62819836,2774352,4.23,103256,693088,1310192,1.97,1088900,246812,1052,0.4,0.0,0.28,0.05,0.0,0.0,0.0,0.0,0.0,99.27,27.0,22.0,3.52,10.98,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,119.0,47.62,18.18,0.0,0.0,0.0,2038.0,1468.0,9669.95,9566.67,0.0,0.0,0.0,3651.0,3253.0,20232.29,22408.3,0.0,0.0,0.0,2170.0,1648.0,10841.26,10963.48,0.0,0.0,0.0
10/04 17:08:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,215479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42090,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,10706.0,36558.0,278.02,9.65,56.56,5.88,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,20060.0,27306.0,313.68,5.38,35.29,6.12,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,21362.0,33058.0,307.46,10.57,86.82,5.65,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62820212,2773976,4.23,103256,693164,1310724,1.97,1089724,246840,224,0.35,0.0,0.28,0.0,0.0,0.0,0.03,0.0,0.0,99.35,16.0,14.0,2.7,9.81,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,106.0,48.86,17.3,0.0,0.0,0.0,2390.0,1845.0,12132.47,12217.71,0.0,0.0,0.0,4739.0,3904.0,28371.28,26358.26,0.0,0.0,0.0,2114.0,2212.0,9068.67,16259.95,0.0,0.0,0.0
10/04 17:08:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,251189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,44155,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,16908.0,29314.0,271.89,6.52,35.12,5.68,96.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,18652.0,25946.0,295.35,5.28,36.52,5.96,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,16306.0,20302.0,290.54,3.89,26.48,6.62,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62819032,2775156,4.23,103256,693240,1311036,1.97,1090184,246868,304,0.45,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,99.32,20.0,17.0,2.99,10.23,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,106.0,48.09,17.1,0.0,0.0,0.0,2040.0,1592.0,9325.06,10175.83,0.0,0.0,0.0,3680.0,3676.0,18976.32,26240.41,0.0,0.0,0.0,2243.0,1483.0,11077.1,9168.97,0.0,0.0,0.0
10/04 17:08:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,251189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,44155,0,0,0,0,0,0,0,0,0,0,1.0,0.0,16.0,16.0,0.01,14.0,14.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,11682.0,24308.0,292.6,3.24,24.72,6.63,81.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,9102.0,23828.0,257.27,3.53,27.57,5.84,74.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,14680.0,30752.0,283.95,5.73,35.9,5.72,91.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62820076,2774112,4.23,103260,693316,1310920,1.97,1090608,246896,372,0.4,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,99.37,14.0,15.0,2.49,10.85,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,108.0,47.4,17.02,0.0,0.0,0.0,2242.0,1395.0,11635.17,8286.07,0.0,0.0,0.0,3286.0,2678.0,17988.16,17930.15,0.0,0.0,0.0,2149.0,1543.0,10653.5,9689.11,0.0,0.0,0.0
