date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 18:18:57,,,,151.0,25366.0,17884.0,286.42,24.52,5.98,176.0,28802.0,20044.0,277.53,7.37,41.47,5.43,168.0,26568.0,286.74,63.27,5.95,777916,68,0.4,0.25,628.0,113.0,47.99,16.94,1302.0,1590.0,2995.92,11678.48,4484.0,5149.0,23725.48,38045.14,1483.0,1645.0,4402.74,11925.67
10/04 18:18:58,,,,161.39,26075.25,21475.25,294.64,34.46,5.84,197.03,28730.69,27453.47,285.16,9.8,50.37,4.99,166.34,26669.31,294.05,84.34,6.0,777956,4,0.12,0.35,643.56,118.81,52.06,18.05,1598.02,2168.32,4520.69,16534.8,5240.59,5371.29,30082.82,38910.37,1463.37,1788.12,3869.0,13184.68
10/04 18:18:59,,,,184.0,27568.0,24642.0,283.75,58.22,5.38,182.0,28784.0,21956.0,278.79,10.8,44.88,5.49,167.0,28048.0,299.58,84.54,5.99,778372,156,1.7,0.35,651.0,118.0,51.62,18.32,1524.0,1866.0,4118.87,13905.77,5164.0,5381.0,28692.8,39803.12,1809.0,1985.0,6557.26,14534.71
10/04 18:19:00,,,,119.8,16706.93,18879.21,297.04,112.91,8.33,186.14,31093.07,22805.94,289.56,11.5,56.93,5.36,184.16,22560.4,253.94,67.94,5.27,778016,200,0.15,0.32,650.5,122.77,50.71,18.55,1298.02,1439.6,3066.33,10408.63,4418.81,4990.1,22681.81,36331.66,1485.15,1719.8,4265.2,12715.93
10/04 18:19:01,,,,145.0,16154.0,16872.0,227.77,63.25,6.9,155.0,19020.0,28616.0,307.33,10.77,91.32,6.45,101.0,18968.0,314.22,18.05,6.43,778392,236,0.53,0.28,640.0,114.0,49.17,17.13,1388.0,1466.0,3868.82,10787.88,3798.0,3357.0,21225.59,23207.28,1376.0,1420.0,4153.62,10326.15
10/04 18:19:02,,,,96.0,15280.0,14070.0,305.73,19.64,6.48,140.0,21020.0,18344.0,281.17,11.99,87.61,7.2,79.0,13190.0,351.67,21.33,6.67,778456,280,0.17,0.32,652.0,118.0,52.17,18.32,1264.0,1110.0,3546.14,7902.57,3116.0,3433.0,15488.56,25412.93,1339.0,1059.0,4381.86,7362.13
10/04 18:19:03,,,,106.0,11386.0,18336.0,280.4,25.85,5.74,175.0,23788.0,22684.0,265.55,9.28,49.06,5.71,109.0,13398.0,280.68,70.14,8.85,777808,316,0.43,0.25,645.0,115.0,50.98,17.2,1369.0,1420.0,3967.8,10531.27,3731.0,3649.0,20669.82,25683.62,1309.0,1342.0,3430.02,9810.5
10/04 18:19:04,,,,149.5,21370.3,20522.77,280.21,32.28,6.07,191.09,35394.06,22099.01,300.87,8.67,47.18,5.12,156.44,20716.83,295.39,76.82,6.38,777832,364,0.2,0.37,639.6,117.82,48.76,17.98,1531.68,1751.49,4456.84,12891.97,4900.99,5674.26,25763.85,41517.53,1473.27,1782.18,3981.56,13251.01
10/04 18:19:05,,,,184.0,29476.0,27576.0,310.07,49.84,5.43,193.0,28082.0,31694.0,309.72,12.53,47.99,5.18,184.0,24750.0,269.91,78.52,5.43,778144,400,0.48,0.3,647.0,121.0,51.12,18.77,1705.0,2137.0,5291.22,15943.42,5504.0,5653.0,32077.27,41153.99,2273.0,2244.0,10402.73,16028.51
10/04 18:19:06,,,,158.42,24000.0,16734.65,257.14,72.12,6.3,165.35,20211.88,20839.6,248.28,13.45,67.26,6.04,151.49,23908.91,273.83,47.47,6.59,778272,444,0.15,0.4,649.5,127.72,51.94,19.69,1343.56,1609.9,3072.2,11663.18,4315.84,4444.55,22900.69,31219.63,1335.64,1496.04,2883.5,10834.79
