date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,contCmd_AbortMigration:02759,contCmd_AddCombGroup:04264,contCmd_EndMigration:02787,contCmd_RemCombIntern:02339,contCmd_SetCombState:02697,contCmd_StartMigration:02731,contCombMngr_UpdateAllCombFirstAccess:00713,contCombMngr_UpdateAllCombFirstAccess:00724,contNet_DisconnectedNotif:01678,contNet_OscillationNotif:01786,contTgt_ConnectedNotif:00845,contTgt_DisconnectedNotif:00896,contTgt_SendDegradeRequest:00953,contTgt_SendDegradeRequest:00982,ioh_NewRequest:05796,ioh_NewRequest:06219,ioh_NewRequest:06481,netMsgSndSync_Wait:00305,netPath_IsKaNeeded:01858,netPath_RcvLoop_CK:01308,netPath_RcvLoop_CK:01329,netPath_RcvLoop_CK:01359,phyComb_CleanToothList:03791,phy_FreeComb:00523,raidComb_CheckDegradePermit:01795,raidComb_EndMigrateInter:03439,raidComb_GetRemoteDrl:01651,raidComb_GetRemoteDrl:01669,raidComb_Init:00462,raidComb_ResetRemoteDrl:09431,raidComb_SendMdmCombState:00920,raidComb_SendMdmCombState:00944,raidComb_SendMdmCombState:01028,raidComb_SendMdmCombState:01053,raidComb_SendSyncedCleanToothListToSec:10914,raidComb_SetCombState:01195,raidComb_SetPriTgtGenNum:02809,raidComb_ShouldTryAgain:06987,raidComb_UpdateWriteError:01874,raidComb_WaitForRemoteResponse:06389,raidComb_WaitForRemoteResponse:06418,raidMigrate_Start:00425,raidRebuild_Start:00389,raidRebuild_Start:00823,raidRebuild_Start:00982,,IO_LONG_30,REMOTE_IS_UNREACHABLE,Latency_172.18.158.42,IO_LONG_120,IO_SUBMIT_EXCEEDED_LIMIT,SCHEDULER_STUCK,ASYNC_IO_CK_EXCEEDED_LIMIT,IO_LONG_60,RPC_SEND_LINGERED_5SEC,MDM_IS_UNREACHABLE,WRITE_KA_CAUSED_DISCONNECT,SND_ERR_NOT_CONNECTED,IO_TIMEDOUT,RCV_MSG_RPC_NOT_FOUND,RPC_LINGERED_3SEC,CONNECTION_DOWN,IO_LONG_15,RCV_SOCK_IO_ERR,KA_CAUSED_DISCONNECT,NET_CHAN_REJECTED_MSG,RCV_ERR,IO_LONG_1,CON_SND_MSG_ABORTED,IO_LONG_5,RPC_TIMED_OUT,SND_ERR,DROPPED_REQUESTS,RPC_LINGERED_1SEC,NET_CHAN_ESTABLISH_ERROR,Latency_172.16.158.32,SOCKET_DOWN,RCV_TIMEOUT,NET_CHAN_UPDATED,MESSAGE_PEER_ID_MISMATCH,SND_TIMEOUT,NET_CON_CK_EXCEEDED_LIMIT,SND_SOCK_IO_ERR,IO_RETRY_10,SOCKET_CK_EXCEEDED_LIMIT,MALLOC_FAILED,dev_sda_tps,dev_sda_rd_sec,dev_sda_wr_sec,dev_sda_avgrq-sz,dev_sda_avgqu-sz,dev_sda_await,dev_sda_svctm,dev_sda_util-percent,dev_sdb_tps,dev_sdb_rd_sec,dev_sdb_wr_sec,dev_sdb_avgrq-sz,dev_sdb_avgqu-sz,dev_sdb_await,dev_sdb_svctm,dev_sdb_util-percent,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_avgqu-sz,dev_sdc_await,dev_sdc_svctm,dev_sdc_util-percent,dev_sdd_tps,dev_sdd_rd_sec,dev_sdd_wr_sec,dev_sdd_avgrq-sz,dev_sdd_avgqu-sz,dev_sdd_await,dev_sdd_svctm,dev_sdd_util-percent,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sde_util-percent,dev_sdh_tps,dev_sdh_rd_sec,dev_sdh_wr_sec,dev_sdh_avgrq-sz,dev_sdh_avgqu-sz,dev_sdh_await,dev_sdh_svctm,dev_sdh_util-percent,dev_sdg_tps,dev_sdg_rd_sec,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_avgqu-sz,dev_sdg_await,dev_sdg_svctm,dev_sdg_util-percent,dev_sdj_tps,dev_sdj_rd_sec,dev_sdj_wr_sec,dev_sdj_avgrq-sz,dev_sdj_avgqu-sz,dev_sdj_await,dev_sdj_svctm,dev_sdj_util-percent,dev_sdi_tps,dev_sdi_rd_sec,dev_sdi_wr_sec,dev_sdi_avgrq-sz,dev_sdi_avgqu-sz,dev_sdi_await,dev_sdi_svctm,dev_sdi_util-percent,dev_sdf_tps,dev_sdf_rd_sec,dev_sdf_wr_sec,dev_sdf_avgrq-sz,dev_sdf_avgqu-sz,dev_sdf_await,dev_sdf_svctm,dev_sdf_util-percent,dev_sdk_tps,dev_sdk_rd_sec,dev_sdk_wr_sec,dev_sdk_avgrq-sz,dev_sdk_avgqu-sz,dev_sdk_await,dev_sdk_svctm,dev_sdk_util-percent,memfree,memused,memused-percent,buffers,cached,commit,commit-percent,active,inactive,dirty,cpu_all_usr,cpu_all_nice,cpu_all_sys,cpu_all_iowait,cpu_all_steal,cpu_all_irq,cpu_all_soft,cpu_all_guest,cpu_all_gnice,cpu_all_idle,iface_enp2s0f0_rxpck,iface_enp2s0f0_txpck,iface_enp2s0f0_rxkB,iface_enp2s0f0_txkB,iface_enp2s0f0_rxcmp,iface_enp2s0f0_txcmp,iface_enp2s0f0_rxmcst,iface_enp2s0f1_rxpck,iface_enp2s0f1_txpck,iface_enp2s0f1_rxkB,iface_enp2s0f1_txkB,iface_enp2s0f1_rxcmp,iface_enp2s0f1_txcmp,iface_enp2s0f1_rxmcst,iface_enp2s0f2_rxpck,iface_enp2s0f2_txpck,iface_enp2s0f2_rxkB,iface_enp2s0f2_txkB,iface_enp2s0f2_rxcmp,iface_enp2s0f2_txcmp,iface_enp2s0f2_rxmcst,iface_enp2s0f3_rxpck,iface_enp2s0f3_txpck,iface_enp2s0f3_rxkB,iface_enp2s0f3_txkB,iface_enp2s0f3_rxcmp,iface_enp2s0f3_txcmp,iface_enp2s0f3_rxmcst,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f0_rxcmp,iface_enp6s0f0_txcmp,iface_enp6s0f0_rxmcst,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp6s0f1_rxcmp,iface_enp6s0f1_txcmp,iface_enp6s0f1_rxmcst,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f0_rxcmp,iface_enp131s0f0_txcmp,iface_enp131s0f0_rxmcst,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB,iface_enp131s0f1_rxcmp,iface_enp131s0f1_txcmp,iface_enp131s0f1_rxmcst
10/04 18:30:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,219039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27771,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.65,23235.64,21136.63,329.53,3.47,26.1,6.72,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.27,34213.86,17132.67,296.34,12.5,51.74,5.76,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.59,19297.03,25455.45,318.31,3.2,25.19,6.15,86.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62413996,3180192,4.85,110708,803672,1475836,2.21,1316724,290756,912,0.12,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,99.58,13.86,13.86,2.46,9.81,0.0,0.0,15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.48,117.82,51.7,17.98,0.0,0.0,0.0,1521.78,1891.09,4715.57,14294.16,0.0,0.0,0.0,4562.38,5183.17,24744.27,38741.67,0.0,0.0,0.0,1459.41,1466.34,4267.03,10651.94,0.0,0.0,0.0
10/04 18:30:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,219039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27771,0,0,0,0,0,0,0,0,0,0,1.98,0.0,110.89,56.0,0.01,7.5,7.5,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.53,23158.42,20900.99,300.68,5.62,39.51,5.92,86.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.32,27485.15,23510.89,302.98,11.44,42.82,5.92,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.75,16885.15,16695.05,269.17,4.04,32.59,5.33,66.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62416372,3177816,4.84,110708,803748,1474744,2.21,1317240,290784,996,0.15,0.0,0.3,0.02,0.0,0.0,0.0,0.0,0.0,99.53,12.87,13.86,2.41,9.81,0.0,0.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.58,126.73,50.07,19.85,0.0,0.0,0.0,1248.51,1450.5,2659.41,10606.24,0.0,0.0,0.0,4045.54,4713.86,20841.91,34123.63,0.0,0.0,0.0,1479.21,1463.37,4825.85,10452.63,0.0,0.0,0.0
10/04 18:30:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,219039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27771,0,0,0,0,0,0,0,0,0,0,3.0,0.0,96.0,32.0,0.07,22.33,10.33,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,7524.0,5952.0,264.24,3.22,50.69,5.96,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,8376.0,6256.0,248.0,3.49,43.36,5.15,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5846.0,7504.0,267.0,3.27,51.26,6.08,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62415632,3178556,4.85,110708,803824,1474632,2.21,1316656,290812,1072,0.12,0.0,0.3,0.0,0.0,0.0,0.02,0.0,0.0,99.55,14.0,14.0,2.49,9.91,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,117.0,51.65,17.8,0.0,0.0,0.0,1153.0,905.0,2832.69,6181.46,0.0,0.0,0.0,2481.0,1671.0,12888.8,10766.18,0.0,0.0,0.0,1039.0,860.0,1883.34,5866.18,0.0,0.0,0.0
10/04 18:30:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,143692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45898,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.38,23879.21,26332.67,309.23,12.09,69.37,6.15,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.04,25097.03,33247.52,297.62,9.01,40.16,5.06,99.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.31,24857.43,28415.84,314.65,6.83,40.03,5.71,96.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62417312,3176876,4.84,110708,803904,1473388,2.21,1316724,290840,1104,0.15,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,99.45,12.87,12.87,2.41,9.58,0.0,0.0,22.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.6,114.85,49.42,16.87,0.0,0.0,0.0,1792.08,2134.65,6409.84,15852.45,0.0,0.0,0.0,5459.41,5206.93,32431.2,37038.14,0.0,0.0,0.0,1830.69,2243.56,6294.52,16817.25,0.0,0.0,0.0
10/04 18:30:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,143692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45898,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.19,23477.23,25641.58,271.09,11.29,49.08,5.5,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.85,35956.44,28071.29,298.01,10.0,76.73,4.62,99.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.69,19235.64,20221.78,301.91,4.53,34.95,5.72,74.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62416300,3177888,4.84,110708,803980,1474176,2.21,1316576,290856,1188,0.15,0.0,0.4,0.0,0.0,0.0,0.02,0.0,0.0,99.43,15.84,15.84,2.58,10.97,0.0,0.0,21.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.53,118.81,50.83,18.31,0.0,0.0,0.0,1677.23,1874.26,5732.34,13730.97,0.0,0.0,0.0,4485.15,5341.58,23714.11,40171.22,0.0,0.0,0.0,1716.83,1579.21,6453.18,10902.92,0.0,0.0,0.0
10/04 18:30:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,219371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55770,0,0,0,0,0,0,0,0,0,0,17.82,0.0,237.62,13.33,0.43,73.22,2.61,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.66,26017.82,16265.35,316.34,3.15,20.88,5.15,68.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.28,24263.37,27851.49,302.51,6.96,43.03,5.59,96.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.19,30669.31,28247.52,325.17,13.93,49.78,5.51,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62415576,3178612,4.85,110708,804056,1474224,2.21,1316428,290880,1068,0.12,0.0,0.4,0.0,0.0,0.0,0.02,0.0,0.0,99.45,13.86,13.86,2.46,9.81,0.0,0.0,31.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.52,120.79,49.55,18.4,0.0,0.0,0.0,1413.86,1875.25,3125.71,14371.98,0.0,0.0,0.0,5167.33,5624.75,29751.65,40875.96,0.0,0.0,0.0,1520.79,2069.31,4070.37,15697.36,0.0,0.0,0.0
10/04 18:30:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,219371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55770,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,25908.0,31536.0,303.94,8.37,46.33,5.33,100.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,23770.0,21358.0,304.92,4.93,29.26,6.24,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,31344.0,26884.0,291.14,12.56,86.28,5.04,100.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62413372,3180816,4.85,110712,804128,1473640,2.21,1316412,290908,1144,0.12,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,99.5,14.0,14.0,2.49,9.89,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,116.0,49.56,17.51,0.0,0.0,0.0,1735.0,1990.0,5791.57,14626.77,0.0,0.0,0.0,5205.0,5561.0,29804.91,40926.78,0.0,0.0,0.0,1728.0,1976.0,5990.67,14527.91,0.0,0.0,0.0
10/04 18:30:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,219371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55770,0,0,0,0,0,0,0,0,0,0,6.93,0.0,1893.07,273.14,0.19,27.71,6.71,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.95,15603.96,15554.46,296.89,1.83,17.19,6.57,68.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.26,26716.83,24495.05,293.89,12.67,54.07,5.73,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.52,22368.32,16083.17,260.64,4.45,38.85,5.72,84.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62414328,3179860,4.85,110716,804208,1473492,2.21,1317320,290944,604,0.15,0.0,0.35,0.0,0.0,0.0,0.02,0.0,0.0,99.48,16.83,14.85,2.64,10.02,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.59,115.84,48.94,17.88,0.0,0.0,0.0,1371.29,1665.35,3475.31,12306.73,0.0,0.0,0.0,4404.95,4548.51,23932.98,32420.59,0.0,0.0,0.0,1216.83,1484.16,2246.15,11052.6,0.0,0.0,0.0
10/04 18:30:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,109205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25788,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.66,18930.69,23831.68,319.93,3.79,28.17,6.1,81.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.27,28104.95,19475.25,274.61,10.33,60.91,5.75,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.18,25093.07,24572.28,272.62,13.0,46.22,5.47,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62413704,3180484,4.85,110716,804284,1473368,2.21,1317096,290972,380,0.17,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,99.43,12.87,13.86,2.41,9.81,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.68,115.84,49.06,17.4,0.0,0.0,0.0,1620.79,1720.79,5248.2,12459.92,0.0,0.0,0.0,4720.79,5121.78,25783.29,36685.61,0.0,0.0,0.0,1547.52,1881.19,4700.59,13800.58,0.0,0.0,0.0
10/04 18:30:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,109205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25788,0,0,0,0,0,0,0,0,0,0,2.97,0.0,126.73,42.67,0.05,16.0,12.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.51,16940.59,27639.6,300.17,3.82,25.21,5.87,87.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.35,32334.65,16051.49,292.63,9.77,74.11,6.04,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.3,18322.77,23057.43,242.99,11.91,58.97,5.86,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62414456,3179732,4.85,110724,804364,1473808,2.21,1317424,291016,480,0.15,0.0,0.32,0.1,0.0,0.0,0.0,0.0,0.0,99.43,17.82,17.82,2.7,11.43,0.0,0.0,23.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.64,127.72,48.75,19.61,0.0,0.0,0.0,1557.43,1741.58,4823.3,12521.06,0.0,0.0,0.0,4462.38,4698.02,23860.21,33651.03,0.0,0.0,0.0,1676.24,1574.26,6257.02,10902.22,0.0,0.0,0.0
