Latency_172.18.158.42_log,Latency_172.16.158.32_log,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
5.340521,4.443592,134.65,23235.64,21136.63,329.53,26.1,6.72,173.27,34213.86,17132.67,296.34,12.5,51.74,5.76,140.59,19297.03,25455.45,318.31,25.19,6.15,803672,912,0.12,0.3,652.48,117.82,51.7,17.98,1521.78,1891.09,4715.57,14294.16,4562.38,5183.17,24744.27,38741.67,1459.41,1466.34,4267.03,10651.94
5.340521,4.443592,146.53,23158.42,20900.99,300.68,39.51,5.92,168.32,27485.15,23510.89,302.98,11.44,42.82,5.92,124.75,16885.15,16695.05,269.17,32.59,5.33,803748,996,0.15,0.3,641.58,126.73,50.07,19.85,1248.51,1450.5,2659.41,10606.24,4045.54,4713.86,20841.91,34123.63,1479.21,1463.37,4825.85,10452.63
5.340521,4.443592,51,7524,5952,264.24,50.69,5.96,59,8376,6256,248,3.49,43.36,5.15,50,5846,7504,267,51.26,6.08,803824,1072,0.12,0.3,647,117,51.65,17.8,1153,905,2832.69,6181.46,2481,1671,12888.8,10766.18,1039,860,1883.34,5866.18
5.157433,4.661794,162.38,23879.21,26332.67,309.23,69.37,6.15,196.04,25097.03,33247.52,297.62,9.01,40.16,5.06,169.31,24857.43,28415.84,314.65,40.03,5.71,803904,1104,0.15,0.4,639.6,114.85,49.42,16.87,1792.08,2134.65,6409.84,15852.45,5459.41,5206.93,32431.2,37038.14,1830.69,2243.56,6294.52,16817.25
5.157433,4.661794,181.19,23477.23,25641.58,271.09,49.08,5.5,214.85,35956.44,28071.29,298.01,10,76.73,4.62,130.69,19235.64,20221.78,301.91,34.95,5.72,803980,1188,0.15,0.4,646.53,118.81,50.83,18.31,1677.23,1874.26,5732.34,13730.97,4485.15,5341.58,23714.11,40171.22,1716.83,1579.21,6453.18,10902.92
5.341179,4.746401,133.66,26017.82,16265.35,316.34,20.88,5.15,172.28,24263.37,27851.49,302.51,6.96,43.03,5.59,181.19,30669.31,28247.52,325.17,49.78,5.51,804056,1068,0.12,0.4,647.52,120.79,49.55,18.4,1413.86,1875.25,3125.71,14371.98,5167.33,5624.75,29751.65,40875.96,1520.79,2069.31,4070.37,15697.36
5.341179,4.746401,189,25908,31536,303.94,46.33,5.33,148,23770,21358,304.92,4.93,29.26,6.24,200,31344,26884,291.14,86.28,5.04,804128,1144,0.12,0.37,645,116,49.56,17.51,1735,1990,5791.57,14626.77,5205,5561,29804.91,40926.78,1728,1976,5990.67,14527.91
5.341179,4.746401,104.95,15603.96,15554.46,296.89,17.19,6.57,174.26,26716.83,24495.05,293.89,12.67,54.07,5.73,147.52,22368.32,16083.17,260.64,38.85,5.72,804208,604,0.15,0.35,640.59,115.84,48.94,17.88,1371.29,1665.35,3475.31,12306.73,4404.95,4548.51,23932.98,32420.59,1216.83,1484.16,2246.15,11052.6
5.038243,4.411418,133.66,18930.69,23831.68,319.93,28.17,6.1,173.27,28104.95,19475.25,274.61,10.33,60.91,5.75,182.18,25093.07,24572.28,272.62,46.22,5.47,804284,380,0.17,0.4,631.68,115.84,49.06,17.4,1620.79,1720.79,5248.2,12459.92,4720.79,5121.78,25783.29,36685.61,1547.52,1881.19,4700.59,13800.58
5.038243,4.411418,148.51,16940.59,27639.6,300.17,25.21,5.87,165.35,32334.65,16051.49,292.63,9.77,74.11,6.04,170.3,18322.77,23057.43,242.99,58.97,5.86,804364,480,0.15,0.32,635.64,127.72,48.75,19.61,1557.43,1741.58,4823.3,12521.06,4462.38,4698.02,23860.21,33651.03,1676.24,1574.26,6257.02,10902.22
4.745574,4.519447,182.18,26108.91,23673.27,273.26,33.06,5.02,186.14,27596.04,24740.59,281.17,12.4,94.29,5.36,179.21,26906.93,24908.91,289.14,79.78,5.57,804440,524,0.17,0.37,639.6,112.87,49.19,17.89,1589.11,1981.19,4721.97,14656.57,5109.9,5373.27,28749.73,40947.96,1651.49,1802.97,5366.08,12913.87
4.745574,4.519447,165,23188,23392,282.3,38.55,5.72,176,27736,22828,287.3,8.16,36.66,5.08,183,30444,23092,292.55,67.95,5.33,804512,600,0.17,0.35,649,113,49.77,18,1588,2032,4817.04,15256.98,5400,5722,30022.11,41129.97,1393,1899,3126.98,14336.4
4.745574,4.519447,160.4,18746.53,22718.81,258.52,41.31,5.68,200.99,27992.08,25704.95,267.16,7.24,45.02,4.95,127.72,14578.22,18887.13,262.02,24.09,6.52,804592,688,0.12,0.35,633.66,116.83,47.63,18.19,1374.26,1599.01,3581.21,11406.16,4354.46,4436.63,23065.21,30926.4,1582.18,1670.3,5179.11,11901.49
5.22267,4.475642,147.52,22732.67,24479.21,320.03,32.52,5.74,186.14,33665.35,22009.9,299.11,12.21,37.13,5.36,189.11,26998.02,32279.21,313.46,52.56,5.26,804668,716,0.15,0.35,696.04,116.83,52.85,18.66,1835.64,2153.47,5813.96,16041.34,5570.3,5866.34,31784.83,42116.01,1788.12,2115.84,5891.38,15694.42
5.22267,4.475642,151.49,23348.51,24400,315.2,41.01,5.56,179.21,29277.23,21083.17,281.02,11.68,74.13,5.56,184.16,26502.97,26994.06,290.49,61.74,5.41,804740,800,0.1,0.37,645.54,115.84,50.32,18.82,1688.12,1671.29,5895.86,11820.1,4630.69,5358.42,24682.93,40200.95,1575.25,1725.74,5017.33,12460.73
5.086673,4.522314,184,27676,28192,303.63,51.34,5.47,122,19920,13712,275.67,3.77,38.75,6.75,138,18660,23026,302.07,27.63,6.39,804824,808,0.15,0.32,647,120,48.51,18.98,1500,1562,4529.2,11111.45,4306,4666,22953.6,33463.61,1443,1658,3920.32,12288.44
5.086673,4.522314,173.27,24314.85,32918.81,330.32,43.79,5.57,179.21,34417.82,23027.72,320.55,9.54,59.36,5.36,133.66,17233.66,18926.73,270.53,33.04,6.01,804900,884,0.12,0.37,646.53,122.77,48.13,19.29,1564.36,1863.37,4734.81,13872.82,4671.29,5229.7,25267.18,38355.55,1688.12,1594.06,6284.12,11315.75
5.086673,4.522314,106.93,16760.4,13689.11,284.76,55.16,4.93,101.98,18487.13,9388.12,273.34,6.56,50.37,5.17,89.11,11710.89,11681.19,262.51,50.9,5.91,804976,996,0.15,0.32,636.63,118.81,48.16,19.01,1366.34,1131.68,4230.18,7719.73,3215.84,3276.24,16227.19,23733.07,1403.96,1215.84,4465.57,8445.69
5.224727,4.591499,174.26,24958.42,32752.48,331.18,79.93,5.72,176.24,28269.31,23700.99,294.89,11.27,52.66,5.66,163.37,23669.31,25154.46,298.86,41.64,5.79,805052,1024,0.12,0.35,647.52,115.84,50.19,18.37,1592.08,1910.89,4965.21,14160.17,4996.04,5341.58,27975.97,38595.35,1522.77,1974.26,4223.78,14908.57
5.224727,4.591499,118,9468,14024,199.08,26.33,6.14,91,10398,11138,236.66,1.4,16.09,6.13,93,11878,13448,272.32,23.12,6.48,805128,1104,0.15,0.27,646,112,48.24,18.23,1222,951,3350.26,6128.42,2695,2421,12576.31,16054.58,1205,977,3136.27,6381.61
5.463067,4.341256,188.12,24435.64,36297.03,322.84,71.19,5.3,149.5,19699.01,23407.92,288.33,3.64,27.47,5.5,150.5,19144.55,27609.9,310.67,37.51,5.87,805208,1156,0.15,0.32,660.4,116.83,51.52,19.41,1886.14,1959.41,7213.3,14096.6,4732.67,4374.26,27958.12,31701.55,1843.56,1909.9,6997.36,13836.49
